Mat,No.,ID,Qn,Q,Pt,SOC,SOE,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,SOH
NMC,26,H3-400,2.1,1.7239,5,45,36.94071429,3.8541,3.8709,3.8761,3.86,3.856,3.8392,3.8337,3.8501,3.8532,3.8854,3.8975,3.865,3.8572,3.8247,3.8129,3.8454,3.8526,3.9186,3.94,3.8752,3.86,0.820904762
NMC,27,H3-500,2.1,1.6369,5,45,35.07642857,3.8643,3.8811,3.8867,3.8699,3.8659,3.8492,3.8433,3.86,3.8631,3.8972,3.9081,3.8749,3.8671,3.8333,3.8222,3.8557,3.8622,3.9298,3.9512,3.8848,3.8699,0.77947619
NMC,28,H3-600,2.1,1.5406,5,45,33.01285714,3.8808,3.8966,3.9037,3.8867,3.8823,3.8653,3.8591,3.8761,3.8795,3.9143,3.9254,3.8922,3.8836,3.8492,3.8377,3.8715,3.8786,3.9459,3.9694,3.9028,3.8867,0.733619048
NMC,29,H4-100,2.1,1.8972,5,45,40.65428571,3.8132,3.8281,3.8358,3.8197,3.8151,3.8002,3.7918,3.8085,3.812,3.8433,3.8578,3.825,3.8166,3.7856,3.771,3.8042,3.8113,3.8764,3.9009,3.8377,3.8197,0.903428571
NMC,30,H4-200,2.1,1.8208,5,45,39.01714286,3.8302,3.8464,3.8523,3.8368,3.8321,3.8154,3.8095,3.8256,3.829,3.8619,3.8736,3.8426,3.8337,3.8008,3.789,3.8206,3.8281,3.8932,3.9158,3.8526,3.8364,0.867047619
NMC,31,H4-300,2.1,1.757,5,45,37.65,3.8578,3.8724,3.8798,3.8643,3.8594,3.843,3.8368,3.8529,3.8566,3.8888,3.9006,3.8693,3.8606,3.8281,3.8166,3.8485,3.8557,3.9183,3.9431,3.8802,3.8637,0.836666667
NMC,32,H4-400,2.1,1.6401,5,45,35.145,3.8712,3.8867,3.8929,3.8774,3.8727,3.8563,3.8501,3.8662,3.8702,3.9015,3.9143,3.8823,3.874,3.8414,3.8293,3.8622,3.869,3.931,3.9567,3.8929,3.8764,0.781
NMC,33,H4-500,2.1,1.4317,5,45,30.67928571,3.9028,3.9186,3.9267,3.9093,3.9043,3.8876,3.8805,3.8975,3.9015,3.9363,3.9496,3.9152,3.9056,3.8715,3.8581,3.8926,3.9003,3.9685,3.9955,3.9279,3.9087,0.681761905
NMC,34,H4-600,2.1,1.286,5,45,27.55714286,3.9152,3.9316,3.94,3.9223,3.9171,3.8988,3.8919,3.9099,3.914,3.9505,3.9639,3.9291,3.9186,3.8823,3.8687,3.9046,3.913,3.9853,4.0119,3.9419,3.9217,0.612380952
NMC,35,I3-100,2.1,1.9383,5,45,41.535,3.7983,3.8132,3.8213,3.8045,3.7999,3.785,3.776,3.7934,3.7971,3.8318,3.8439,3.8113,3.8014,3.767,3.7543,3.7875,3.7965,3.8603,3.8891,3.8222,3.8045,0.923
NMC,36,I3-200,2.1,1.8665,5,45,39.99642857,3.8144,3.8315,3.8371,3.8209,3.8163,3.7992,3.793,3.8095,3.8135,3.8464,3.8591,3.8259,3.8175,3.7834,3.7717,3.8054,3.8126,3.8761,3.9034,3.8364,3.8206,0.888809524
NMC,37,I3-300,2.1,1.8076,5,45,38.73428571,3.8411,3.8572,3.8637,3.847,3.8426,3.8259,3.82,3.8368,3.8402,3.8721,3.8854,3.8516,3.8439,3.8104,3.7986,3.8327,3.8392,3.9037,3.9291,3.8634,3.8473,0.860761905
NMC,38,I3-400,2.1,1.745,5,45,37.39285714,3.8501,3.8662,3.8721,3.856,3.8519,3.8346,3.8287,3.8451,3.8485,3.8826,3.8938,3.8606,3.8529,3.8188,3.8076,3.8414,3.8479,3.9149,3.9372,3.8712,3.856,0.830952381
NMC,39,I3-500,2.1,1.6856,5,45,36.12,3.8597,3.8764,3.882,3.8653,3.8612,3.8439,3.8383,3.8554,3.8581,3.8929,3.9037,3.8699,3.8628,3.8281,3.8169,3.851,3.8575,3.9239,3.9471,3.8802,3.8653,0.802666667
NMC,40,I3-600,2.1,1.6119,5,45,34.54071429,3.8721,3.8891,3.8947,3.8777,3.8736,3.8566,3.8507,3.8678,3.8709,3.905,3.9161,3.8829,3.8752,3.8423,3.8293,3.8634,3.8699,3.9375,3.9592,3.8941,3.878,0.767571429
NMC,41,I4-100,2.1,1.8945,5,45,40.59642857,3.8107,3.8278,3.834,3.8169,3.8123,3.7955,3.789,3.8061,3.8098,3.8436,3.8563,3.8225,3.8138,3.7794,3.7676,3.8005,3.8092,3.8771,3.9006,3.834,3.8169,0.902142857
NMC,42,I4-200,2.1,1.8275,5,45,39.16071429,3.8247,3.8411,3.8473,3.8309,3.8262,3.8101,3.8033,3.8197,3.8237,3.8569,3.869,3.8364,3.8275,3.7946,3.7822,3.8151,3.8225,3.8888,3.9127,3.8473,3.8309,0.870238095
NMC,43,I4-400,2.1,1.7245,5,45,36.95357143,3.8529,3.869,3.8749,3.8588,3.8544,3.8386,3.8327,3.8488,3.8523,3.8845,3.8963,3.8643,3.856,3.8237,3.812,3.8445,3.8513,3.9155,3.9388,3.8749,3.8588,0.821190476
NMC,44,I4-500,2.1,1.6775,5,45,35.94642857,3.8569,3.8724,3.8786,3.8625,3.8585,3.8423,3.8361,3.8526,3.856,3.8888,3.9,3.8678,3.8594,3.8287,3.8154,3.8476,3.8547,3.9195,3.9431,3.878,3.8625,0.798809524
NMC,45,I4-600,2.1,1.5797,5,45,33.85071429,3.873,3.8891,3.8957,3.8795,3.8746,3.8581,3.8523,3.869,3.8724,3.9059,3.9171,3.8839,3.8758,3.8436,3.8312,3.8643,3.8712,3.9378,3.9605,3.8944,3.8786,0.752238095
NMC,46,J1-100,2.1,1.9212,5,45,41.16857143,3.8073,3.8231,3.8302,3.8141,3.8095,3.7937,3.7862,3.803,3.8067,3.8399,3.8526,3.8197,3.8107,3.7791,3.7648,3.798,3.8058,3.8724,3.8969,3.8318,3.8138,0.914857143
NMC,47,J1-200,2.1,1.8448,5,45,39.53142857,3.8234,3.8395,3.8461,3.8299,3.8256,3.8095,3.803,3.8191,3.8231,3.8541,3.8674,3.8355,3.8268,3.7943,3.7822,3.8141,3.8219,3.8842,3.9105,3.8467,3.8299,0.87847619
NMC,48,J1-300,2.1,1.7948,5,45,38.46,3.8476,3.8631,3.8699,3.8541,3.8495,3.834,3.8278,3.8436,3.8473,3.8789,3.891,3.8594,3.851,3.8194,3.8073,3.8386,3.8461,3.9102,3.9332,3.8702,3.8538,0.854666667
NMC,49,J1-400,2.1,1.7234,5,45,36.93,3.8563,3.8721,3.878,3.8628,3.8578,3.8423,3.8361,3.8519,3.8557,3.8867,3.8984,3.8671,3.8591,3.8278,3.8163,3.8473,3.8547,3.9167,3.9403,3.8792,3.8625,0.820666667
NMC,50,J1-500,2.1,1.6197,5,45,34.70785714,3.8774,3.8932,3.8988,3.8833,3.8789,3.8631,3.8569,3.8727,3.8761,3.9084,3.9198,3.8891,3.8798,3.8479,3.8361,3.8681,3.8752,3.9388,3.9614,3.8984,3.8826,0.771285714
NMC,51,J1-600,2.1,1.469,5,45,31.47857143,3.8876,3.9034,3.9099,3.8941,3.8891,3.8727,3.8665,3.8826,3.8867,3.9195,3.9316,3.8984,3.8901,3.8572,3.8454,3.8783,3.8857,3.9518,3.9747,3.9099,3.8932,0.69952381
